year,age,zero,one,two,three,four
1924.0,24,0.6,0.29,0.09,0.02,0.0
1925.0,24,0.6,0.29,0.09,0.02,0.0
1926.0,24,0.5959595959595959,0.2828282828282828,0.10101010101010101,0.020202020202020204,0.0
1927.0,24,0.59,0.28,0.1,0.02,0.01
1928.0,24,0.59,0.27,0.1,0.03,0.01
1929.0,24,0.594059405940594,0.26732673267326734,0.09900990099009901,0.0297029702970297,0.009900990099009901
1929.0,24,0.594059405940594,0.26732673267326734,0.09900990099009901,0.0297029702970297,0.009900990099009901
1930.0,24,0.5841584158415841,0.26732673267326734,0.10891089108910891,0.0297029702970297,0.009900990099009901
1931.0,24,0.5841584158415841,0.26732673267326734,0.10891089108910891,0.0297029702970297,0.009900990099009901
1932.0,24,0.5841584158415841,0.26732673267326734,0.10891089108910891,0.0297029702970297,0.009900990099009901
1933.0,24,0.5757575757575758,0.2727272727272727,0.1111111111111111,0.030303030303030304,0.010101010101010102
1934.0,24,0.55,0.29,0.12,0.03,0.01
1934.0,24,0.55,0.29,0.12,0.03,0.01
1935.0,24,0.55,0.28,0.13,0.03,0.01
1936.0,24,0.54,0.28,0.13,0.04,0.01
1937.0,24,0.53,0.28,0.14,0.04,0.01
1938.0,24,0.52,0.28,0.15,0.04,0.01
1939.0,24,0.49504950495049505,0.27722772277227725,0.15841584158415842,0.04950495049504951,0.019801980198019802
1939.0,24,0.49504950495049505,0.27722772277227725,0.15841584158415842,0.04950495049504951,0.019801980198019802
1940.0,24,0.49,0.28,0.16,0.05,0.02
1941.0,24,0.48,0.28,0.17,0.05,0.02
1942.0,24,0.48,0.27,0.17,0.06,0.02
1943.0,24,0.48,0.26,0.18,0.06,0.02
1944.0,24,0.48,0.26,0.18,0.06,0.02
1944.0,24,0.48,0.26,0.18,0.06,0.02
1945.0,24,0.4752475247524752,0.26732673267326734,0.18811881188118812,0.04950495049504951,0.019801980198019802
1946.0,24,0.48,0.26,0.19,0.05,0.02
1947.0,24,0.504950495049505,0.24752475247524752,0.1782178217821782,0.04950495049504951,0.019801980198019802
1948.0,24,0.5,0.25,0.18,0.05,0.02
1949.0,24,0.52,0.24,0.18,0.05,0.01
1949.0,24,0.52,0.24,0.18,0.05,0.01
1950.0,24,0.5247524752475248,0.2376237623762376,0.1782178217821782,0.04950495049504951,0.009900990099009901
1951.0,24,0.5454545454545454,0.23232323232323232,0.1717171717171717,0.04040404040404041,0.010101010101010102
1952.0,24,0.55,0.23,0.17,0.04,0.01
1953.0,24,0.5643564356435643,0.21782178217821782,0.16831683168316833,0.039603960396039604,0.009900990099009901
1954.0,24,0.59,0.2,0.16,0.04,0.01
1954.0,24,0.59,0.2,0.16,0.04,0.01
1955.0,24,0.6060606060606061,0.20202020202020202,0.15151515151515152,0.030303030303030304,0.010101010101010102
1956.0,24,0.61,0.2,0.14,0.04,0.01
1957.0,24,0.62,0.2,0.14,0.03,0.01
1958.0,24,0.64,0.19,0.13,0.03,0.01
1959.0,24,0.65,0.18,0.13,0.03,0.01
